Planifikuar,Buxheti,Numri prokurimit,Lloji i prokurimit,Vlera e prokurimit,Procedura e prokutimiy,Klasifikimi(2 shifrat e para te FPP),Titulli i aktivitetit te prokurimit,Data e inicimit të aktivitetit të prokurimit (data e pranimit të kërkesës),Data e aprovimit të deklaratës së nevojave dhe disponueshmërisë së mjeteve,Data e pranimit të specifikimit teknik (TOR),Data e publikimit të njoftimit për kontratë,Ankesat në autoritet,Ankesat në OSHP,Data e hapjes së ofertave,Nr. i OE që kanë shkarkuar dosjen e tenderit,Nr. i OE që kanë dorëzuar ofertat,Data e fillimit dhe përfundimit të vlersimit,Numri i ofertave të refuzuara,Data e aprovimit të Deklaratës së nevojave dhe disponueshmërisë së mjeteve - rikonfirmimi,Data e publikimit të njoftimit për dhënie të kontratës,Data e publikimit të anulimit të njoftimit,Letrat Standarde për OE,Ankesat në autoritet,Ankesat në OSHP,Vlera e parashikuar e kontratës,OE,Afati kohor për pranimin e tenderëve,Kriteret për dhënie të kontratës,Re-tenderimi,Statusi,Emri i OE të cilit i është dhënë kontrata,Data e nënshkrimit të kontratës,Afati për implementimin e kontratës,Data e mbylljes së kontratës,"Vlera totale e kontratës, duke përfshirë të gjitha taksat","Numri i përgjithshëm i situacioneve për pagesë, sipas kontratës",Vlera totale e Aneks kontratës duke përfshirë të gjitha taksat(1),Data e nënshkrimit të Aneks kontratës(1),Vlera totale e Aneks kontratës duke përfshirë të gjitha taksat(2),Data e nënshkrimit të Aneks kontratës(2),Vlera totale e Aneks kontratës duke përfshirë të gjitha taksat(3),Data e nënshkrimit të Aneks kontratës(3),Vlera totale e Aneks kontratës duke përfshirë të gjitha taksat(4),Data e nënshkrimit të Aneks kontratës(4),Data e pagesës së situacionit(1),Shuma e pagesës së situacionit(1),Data e pagesës së situacionit(2),Shuma e pagesës së situacionit(2),Data e pagesës së situacionit(3),Shuma e pagesës së situacionit(3),Data e pagesës së situacionit(4),Shuma e pagesës së situacionit(4),Shuma e zbritjes nga kontrata për shkaqe të ndalesave,Data e pagesës së situacionit të fundit,Shuma e pagesës së situacionit të fundit,Çmimi total i paguar për kontratën,Drejtoria,Emri i zyrtarit të prokurimit
,1,44,1,2,1,36,Furnizim me material Administrativ Shëndetësor,09.03.18,13.03.18,15.03.18,16.03.18,n/a,,13.04.18,13,5,03.05.18,0,08.05.18,10.05.18,,13.05.18,0,0,"60,000.00",1,1,1,,4,Rilindja,28.05.18,36 Muaj,27.05.21,"39,845.50",,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Shëndetësisë,Albina Bajrami
2,1,46,1,3,6,28,Furnizimi  me tepih i çerdheve ,22.02.18,05.03.18,19.03.18,20.03.18,n/a,n/a,04.04.18,14,5,16.04.18,0,23.04.18,26.04.18,,30.04.18,,,"9,000.00",1,1,1,,4,NTP GJINI ,07.05.18,30 Ditë,,"7,637.40",1,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Arsimit,Shehide Jashari
,,36,2,1,1,74,Deratizimi i podrumeve dhe garazheve publike dhe i rrjetit të kanalizimit të qytetit të Prishtinës-llot 2,06.03.18,21.02.18,06.03.18,09.03.18,n/a,n/a,20.04.18,29,4,,2,11.05.18,12.05.18,,14.05.18,1,0,"135,000.00",1,1,1,n/a,4,Truly Nolen,01.06.18,36 Muaj,31.05.21,"130,539.91",6,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Shëndetësisë,Verona Sekiraqa 
,,47,5,2,1,45,Renovimi i zyreve në objektin e vjetër të Komunës,22.03.18,22.03.18,21.03.18,23.05.18,n/a,n/a,14.06.18,60,8,,3,06.07.18,06.07.18,,04.07.18,1,0,"35,000.00",1,1,1,jo,4,Zhvillimi,20.07.18,30 Ditë,,"16,156.88",1,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Administratës,Verona Sekiraqa 
,1,48,1,2,1,31,"Furnizim me material elektrik, material hidrosanitar ,material të bravarisë, vegla dhe rroba pune për nevojat e Komunës së Prishtinës",14.03.18,15.03.18,23.03.18,27.03.18,n/a,n/a,20.04.18,29,8,,6,04.06.18,07.06.18,,10.06.18,0,0,"93,000.00",1,1,1,jo,4,El Shpetimi ,25.06.18,36 Muaj,,"51,409.50",,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Administratës,Shqipe Isufi
,,49,2,2,1,30,"Mirëmbajtja, servisimi i paisjeve të IT-së,të Komunës ,shkollave dhe Institucioneve tjera",28.03.18,11.04.18,11.04.18,18.04.18,n/a,n/a,15.05.18,20,2,,,04.06.18,12.06.18,,04.06.18,,,"60,000.00",1,1,,,4,Europrinty&Astronik,22.06.18,36 Muaj,,"60,000.00",,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Administratës,Shehide Jashari
,1,50,1,2,1,30,Furnizimi me paisje të IT-së për vitin 2018,23.03.18,11.04.18,11.04.18,16.04.18,n/a,n/a,07.05.18,52,12,,12,,12.06.18,12.06.18,05.06.18,0,0,"70,000.00",,,,,3,,12.07.18,,,0.00,,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Administratës,Albina Bajrami
2,1,51,1,3,6,41,Furnizimi me ujë për shkolla dhe institucionet parashkollore ,11.04.18,11.04.18,11.04.18,23.04.18,n/a,n/a,02.05.18,6,0,,,,,,,n/a,n/a,"3,000.00",1,1,1,n/a,3,n/a,,,,0.00,,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Arsimit,Valmire Mustafa
2,1,51,1,3,6,41,Furnizimi me ujë për shkolla dhe institucionet parashkollore -Ritender,11.04.18,11.04.18,11.04.18,07.05.18,n/a,n/a,15.05.18,4,0,,,,,,,n/a,n/a,"3,000.00",1,1,1,n/a,3,n/a,,,,0.00,,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Arsimit,Valmire Mustafa
2,1,52,2,2,1,93,Angazhimi i përmbaruesve privat për inkasimin e gjobave komunale,18.04.18,11.04.18,18.04.18,19.04.18,n/a,,15.05.18,7,2,,1,13.06.18,20.06.18,,12.06.18,0,0,"20,000.00",1,1,1,jo,4,Afet Mjeku - Përmbarues,25.06.18,12 Muaj,,"20,000.00",,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Administratës,Kaltrina Dalipi
1,1,53,1,2,1,36,Furnizimi me toner për nevojat e Komunës së Prishtinës  ,05.04.18,11.04.18,05.04.18,17.04.18,,,10.05.18,35,7,,1,11.06.18,13.06.18,,13.06.18,0,0,"60,000.00",1,1,1,,4,Blendi,05.07.18,36 Muaj,,"43,912.20",36,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Administratës,Nexhmi Mekolli
1,1,54,5,2,1,45,Zgjerimi dhe modernizimi i rrjetit të ndriqimit Publik,17.04.18,11.04.18,18.04.18,18.04.18,n/a,,14.05.18,44,9,,7,01.06.18,07.06.18,,30.05.18,0,0,"300,000.00",1,1,1,jo,4,Risamont,12.06.18,12 Muaj,,"164,403.00",,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Shërbimeve Publike,Kaltrina Dalipi
,,55,5,2,1,45,Vendosja e shtyllave antiparking për lirimin e hapësirave publike dhe gjelbruese,11.04.18,11.04.18,11.04.18,20.04.18,n/a,n/a,15.05.18,29,4,,2,31.05.18,01.06.18,,31.05.18,1,0,"75,000.00",1,1,1,jo,4,Armakos,08.06.18,90 Ditë,,"55,264.00",1,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Shërbimeve Publike,Verona Sekiraqa
1,1,56,5,2,1,45,"Ndërtimi i rrugëve Evlija Çelebi, Luan Qelaj dhe Halil Ademaj",24.04.18,20.04.18,20.04.18,26.04.18,,,15.05.18,44,2,,2,,,04.06.18,,1,,"144,250.90",1,1,,,3,,,,,NaN,,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Investimeve Kapitale dhe Menaxhim të Kontratave,Flamur Sallahu
2,1,57,2,3,6,,Sanimi i rrëshqitjeve të dheut ,16.04.18,16.04.18,18.04.18,24.04.18,,,07.05.18,23,3,,,05.06.18,12.06.18,,06.05.18,0,0,"9,988.00",1,1,1,,4,Bashkimi,14.06.18,30 Ditë,,"9,053.00",,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Investimeve Kapitale dhe Menaxhim të Kontratave,Valmire Mustafa
2,1,58,2,,3,,Pastrimi i ambienteve të trashëgimisë në objektin e ish-konsullatës dhe objektet përcjellëse,26.04.18,,,30.04.18,,,07.05.18,17,4,18.05.18,,,28.05.18,,24.05.18,0,0,"9,420.00",1,1,1,,1,"N.N.P. ""ISA DEKOR""; "" L-Group "" SH.P.K.",04.06.18,30 Ditë,,"5,880.00",,08.10.18,581.47,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Kulturës,Flamur Sallahu
1,1,60,2,2,1,93,Ofrimi i shërbimeve për organizime dhe maniifestime kulturore I,26.04.18,26.04.18,07.05.18,16.05.18,n/a,,12.06.18,17,4,,0,28.06.18,09.07.18,,03.07.18,0,0,47225.00,1,1,1,,4,Light Production ,13.07.18,12 Muaj,,"38,155.00",,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Kulturës,Kaltrina Dalipi
,1,61,5,1,2,45,Asfaltimi i rrugës Matiqan-Butovc-Kolovicë,02.05.18,08.05.18,09.05.18,16.05.18,,,11.06.18,45,11,,5,30.10.18,06.11.18,,30.10.18,0,0,"980,686.75",1,1,1,,4,Bageri,13.11.18,90 Ditë,,"782,656.52",,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Investimeve Kapitale dhe Menaxhim të Kontratave,Shqipe Isufi
,1,62,2,1,5,93,Sigurimi fizik i objekteve Komunale ,08.05.18,08.05.18,08.05.18,12.05.18,1,1,15.05.18,4,4,16.05.18,0,17.05.18,18.05.18,,,0,0,"150,000.00",1,1,1,,4,KSAS-Security,22.05.18,3 Muaj,,"108,345.00",3,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Administratës,Nexhmi Mekolli
1,1,63,1,2,1,22,Furnizimi me libra për Drejtorinë e Kulturës  ,10.05.18,25.04.18,10.05.18,22.05.18,,,19.06.18,13,1,,,05.07.18,13.07.18,,05.07.18,,,"50,000.00",1,1,1,jo,4,Artini,17.07.18,90 Ditë,,"49,749.50",,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Kulturës,Valmire Mustafa
,1,64,5,2,1,45,"Ç'vendosja vertikale e gypit metalik të sisitemit të ujitjes Ibër Lepenc në Kalabri-ritender",30.04.18,08.05.18,14.05.18,16.05.18,n/a,,05.11.18,22,2,,1,27.11.18,05.12.18,,28.11.18,,,"50,000.00",1,1,1,,4,K-Ing shpk,11.12.18,15 Ditë,,"43,893.60",,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Investimeve Kapitale dhe Menaxhim të Kontratave,Shehide Jashari
,1,65,1,2,1,36,Furnizim me material shpenzues për shërbime laboratorike dhe RO- kabineti,16.04.18,17.04.18,21.05.18,22.05.18,,,27.06.18,21,,,,13.08.18,20.08.18,,23.07.18,,,"75,000.00",1,1,1,,4,Medi Lab,24.08.18,12 Muaj,,"16,283.00",,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Shëndetësisë,Albina Bajrami
1,1,66,5,2,1,45,Renovimi i objekteve të trashëgimisë kulturore,17.05.18,17.05.18,16.05.18,06.06.18,,,03.07.18,66,4,,,12.07.18,19.07.18,,12.07.18,,," 64,163.32 ",1,1,1,jo,4,Albi Company,24.07.18,120 Ditë,,"51,708.22",1,,,,,,,,,07.11.18,"16,384.00",,,,,,,,,,NaN,Drejtoria e Kulturës,Verona Sekiraqa
1,1,56,5,2,1,45,"Ndërtimi i rrugëve Evlija Çelebi, Luan Qelaj dhe Halil Ademaj - Ritender",25.06.18,20.04.18,19.04.18,27.06.18,,,18.07.18,0,4,,0,20.04.18,07.08.18,,30.07.18,0,0,"144,250.90",1,1,1,Po,4,"NNSH ""CO-ING""",10.08.18,90 Ditë,10.11.18,"122,234.10",3,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Investimeve Kapitale dhe Menaxhim të Kontratave,Flamur Sallahu
,1,50,1,2,1,30,Furnizimi me paisje te IT-se per vitin 2018- Ritender ,23.03.18,11.04.18,10.04.18,16.04.18,,,06.08.18,41,6,,4,07.09.18,02.10.18,,30.08.18,0,0,"95,000.00",1,1,1,Po,4,Botek,09.10.18,90 Ditë,,"49,336.00",0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Administratës,Albina Bajrami
,,67,2,2,1,74,Ofrimi i shërbimeve për përkthim,07.06.18,16.05.18,05.06.18,09.06.18,,,02.07.18,8,2,,1,18.07.18,25.07.18,,16.07.18,1,0," 10,000.00 ",1,1,1,,4,GCDA,31.07.18,12 Muaj,,"8,000.00",1,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Administratës,Verona Sekiraqa 
2,1,68,5,2,1,45,Rikonstruimi i rrugëve Holgen Petersen dhe Ulëza,22.05.18,31.05.18,22.05.18,,,,,0,0,,0,,,,,,0,,,,,,3,,,,,0.00,0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Investimeve Kapitale dhe Menaxhim të Kontratave,Nexhmi Mekolli
2,1,70,5,2,1,45,"Rikonstruimi i rrugëve Drenica,Ukshin Hoti,Robert Doll dhe asfaltimi i shtresës se fundit te mbistruktures se rruges Enver Maloku ",28.05.18,04.06.18,06.06.18,12.06.18,,,09.07.18,15,,,0,,,09.07.18,,,0,"178,162.00",1,1,,,3,,,,,0.00,0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Investimeve Kapitale dhe Menaxhim të Kontratave,Albina Bajrami
2,1,70,5,2,1,45,"Rikonstruimi i rrugëve Drenica,Ukshin Hoti,Robert Doll dhe asfaltimi i shtresës se fundit te mbistruktures se rruges Enver Maloku-Ritender ",28.05.18,04.06.18,06.06.18,10.07.18,,1,02.08.18,29,3,,3,,,05.11.18,,,0,"178,162.00",,,,,3,,,,,0.00,0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Investimeve Kapitale dhe Menaxhim të Kontratave,Albina Bajrami
2,1,71,5,2,1,45,Rikonstruimi i rrugës Eqrem Qabej nga udhëkryqi i Katedrales deri tek Udhëkryqi i Menses së studentëve,22.05.18,31.05.18,10.06.18,12.06.18,,,06.07.18,18,3,,2,20.08.18,11.09.18,,21.08.18,,0,"168,096.15",1,1,1,,4,Papenburg Adriani Company ,14.09.18,90 ,,"160,981.01",0,,,,,,,,,20.11.18,"50,000",26.11.18,"50,000",,,,,,,,NaN,Drejtoria e Investimeve Kapitale dhe Menaxhim të Kontratave,Shqipe Isufi 
2,1,73,4,2,1,,"Konkurs projektimi  ""Konservimi dhe adaptimi i ndërtesës së ish-kadastrit të Prishtinës",,,13.06.18,22.05.18,,,20.07.18,0,0,,0,,,15.03.19,,,0,"60,000.00",,,,,,,,,,0.00,0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Arsimit,Flamur Sallahu
2,1,74,5,2,1,45,Ndërtimi i Laboratorit në SHMT 28 Nëntori Prishtinë-faza e dytë,11.04.18,11.04.18,15.05.18,07.06.18,,,02.07.18,42,9,,1,13.08.18,20.08.18,,07.08.18,,0,"60,000.00",1,1,1,jo,4,Tribuna,24.08.18,60 Ditë,,"37,908.70",,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Arsimit,Valmire Mustafa
,,75,1,2,1,45,"Furnizimi dhe montimi i totemave, sinjalizuesve turistik",25.06.18,16.05.18,23.06.18,,,,,0,0,,0,,,,,1,0,,1,1,1,,3,,,,,0.00,0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Kulturës,Verona Sekiraqa 
2,1,77,5,2,1,45,Renovimi i ndërtesave për mbrojtje të trashëgimisë kulturore,27.06.18,22.06.18,01.07.18,29.06.18,1,1,23.07.18,4,4,,1,22.09.18,11.12.18,,12.11.18,1,1,"110,000.00",1,1,1,,4,"""Albi Company"" sh.p.k.",13.12.18,12 Muaj,13.12.19,"73,941.16",0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Kulturës,Flamur Sallahu
2,1,78,5,2,1,45,Shpimi i puseve dhe ndërtimi i sistemit të ujitjes për gjelbrim ,14.06.18,21.06.18,01.07.18,11.07.18,,,06.08.18,33,4,,1,20.08.18,28.09.18,,22.08.18,,0,"150,000.00",1,1,1,,4,Niti-i&Caja Company,04.10.18,12 Muaj,,0.00,0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Shërbimeve Publike,Shehide Jashari
1,1,79,1,1,1,40,Furnizimi me makineri dhe paisje,10.07.18,16.05.18,09.07.18,13.07.18,,,30.08.18,22,1,,0,17.09.18,25.09.18,,17.09.18,,0,"146,600.00",1,1,1,,4,Agribau,09.10.18,60 Ditë,,"146,600.00",0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Shërbimeve Publike,Valmire Mustafa
1,1,80,5,2,1,45,Zgjerimi dhe modernizimi i rrjetit të ndriqimit Publik në zonat e qytetit dhe rurale - Faza II,18.06.18,28.06.18,25.06.18,13.07.18,,,10.08.18,26,9,,1,25.08.18,05.09.18,,26.08.18,0,0,"135,000.00",1,1,,,,Niti,10.09.18,12 Muaj,,"58,827.00",0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Shërbimeve Publike,Albina Bajrami
2,1,81,2,2,1,,Mirëmbajtja dhe pastrimi i objektit të ri komunal dhe disa instituciioneve tjera komunale,17.07.18,28.06.18,09.07.18,20.07.18,2,,06.08.18,6,6,,3,05.10.18,,,20.09.18,2,0,"120,000.00",1,1,1,,4,"N.T.SH. ""AB-CLEAN""",05.10.18,36 Muaj,,"105,552.00",0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Administratës,Flamur Sallahu
1,1,82,2,,2,,"Pastrimi i objekteve të Komunës së Prishtinës - Objekti i vjetër i Komunës, Objekti i Inspekcionit,  Objekti i ri i Arkivit Komunal, Objekti i Qendrës për Punë Sociale si dhe Objekte tjera sipas nevojës",12.07.18,12.07.18,11.07.18,13.07.18,,,18.07.18,1,1,,0,,23.07.18,,,,0,"20,000.00",1,1,1,jo,4,MSS,23.07.18,3 Muaj,,"10,561.59",0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Administratës,Flamur Sallahu
,,86,5,2,1,45,"Ndërtimi i rrugës lidhëse me rrugët Fatime Sokoli, Vehap Shita dhe Tahir Zajmi",19.07.18,12.07.18,02.07.18,21.07.18,,,10.07.18,39,5,,0,04.09.18,04.09.18,,29.08.18,0,0,"262,124.93",1,1,1,,4,Gashi Ing,07.09.18,60 Ditë,,"186,721.76",0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Investimeve Kapitale dhe Menaxhim të Kontratave,Verona Sekiraqa 
,,87,1,2,1,32,Furnizimi me 10 aparata fotografik profesional  për nevoja të Komunës,18.07.18,16.05.18,12.07.18,20.07.18,,,30.07.18,26,2,,0,13.08.18,10.08.18,,02.08.18,0,0,"6,000.00",1,1,1,,4,Gertech,22.08.18,30 Ditë,,"4,955.76",0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Administratës,Verona Sekiraqa 
,,88,1,2,1,,Furnizimi i ambulanave për nevojat e QKMF-së dhe QMU - Lot I,08.06.18,28.06.18,18.06.18,25.07.18,,,16.08.18,23,3,,0,17.09.18,27.09.18,,18.09.18,,0,"120,000.00",1,1,1,,4,"""Delfini Auto"" Sh.P.K",04.10.18,90 Ditë,,"26,420.00",1,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Shëndetësisë,Shehide Jashari
,,89,5,2,1,,Ndërtimi i këndeve dhe fushave sportive në Komunën e Prishtinës,24.07.18,,,,,,,0,0,,0,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Kulturës,Flamur Sallahu
,,91,5,2,1,45,Riparimi dhe rregullimi i ashensorëve,02.08.18,12.07.18,24.07.18,04.08.18,,,27.08.18,28,5,,0,13.09.18,28.09.18,,19.09.18,0,0,"100,000.00",1,1,1,,4,Rima enginering,01.10.18,12 Muaj,,"89,889.96",0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Shërbimeve Publike,Verona Sekiraqa 
,1,92,5,2,1,45,"Ndërtimi i rrugës ""Rimanshtë-Sharban""-Prishtinë",31.07.18,26.07.18,10.07.18,02.08.18,,,11.07.18,58,12,,0,24.10.18,30.10.18,,23.10.18,0,0,"982,303.60",1,1,1,jo,4,Bageri,02.11.18,120 Ditë,,"564,648.77",12,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Investimeve Kapitale dhe Menaxhim të Kontratave,Verona Sekiraqa 
1,1,93,1,2,1,26,Furnizim me inventarë për nevojat e Institucioneve shëndetësore dhe sociale,26.07.18,26.07.18,01.08.18,15.08.18,,,10.09.18,24,1,,1,04.10.18,09.10.18,,08.10.18,0,0,"15,109.00",1,1,1,,4,MALI,19.10.18,60 Ditë,,"14,986.80",0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Shëndetësisë,Kaltrina Dalipi
1,1,95,5,2,1,45,Ndërtimi i sallës së edukatës fizike Avni Rrustemi në Mramor,30.07.18,01.08.18,01.08.18,09.08.18,,,30.08.18,55,10,,2,04.10.18,23.10.18,,31.08.18,0,0,"197,450.38",1,1,1,jo,4,A con,23.10.18,150 Ditë,,"167,257.80",3,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Arsimit,Nexhmi Mekolli
2,1,96,5,2,1,45,Rekonstruimi i rrugës Ndue Përlleshi dhe rrugës Shaqir Igrishta ,03.07.18,12.07.18,06.08.18,08.08.18,,,10.08.18,24,9,,1,28.09.18,16.10.18,,09.10.18,0,0,"213,681.00",1,1,1,,4,Gerlica Company,23.10.18,90 Ditë,,"163,190.00",0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Investimeve Kapitale dhe Menaxhim të Kontratave,Albina Bajrami
2,1,99,1,2,,,Furnizimi me material pedagogjik shkollor Dukagjini,09.08.18,23.07.18,08.08.18,14.08.18,,,23.08.18,4,1,,0,04.09.18,06.09.18,,05.09.18,,0,21550,1,1,1,jo,4,Dukagjini,25.09.18,12 Muaj,,"21,550.00",0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Arsimit,Valmire Mustafa
2,1,100,1,3,,,Furnizimi me material pedagogjik shkollor - Libri Shkollor ,09.08.18,23.07.18,08.08.18,14.08.18,,,27.08.18,3,1,,0,04.09.18,06.09.18,,05.09.18,,0,10038.80,1,1,1,jo,4,Libri shkollor,19.09.18,12 Muaj,,"10,038.80",0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Arsimit,Valmire Mustafa
2,1,101,1,1,1,74,Kryerja e shërbimeve të ankandit publik,14.08.18,07.08.18,08.08.18,15.08.18,,,06.09.18,8,1,,0,17.09.18,24.09.18,,17.09.18,0,0,"15,000.00",1,1,1,,4,Shtëpia e ankandeve ,27.09.18,90 Ditë,,0.00,0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Administratës,Verona Sekiraqa 
2,1,104,5,2,1,45,Renovime dhe Rindertime,02.08.18,07.08.18,14.08.18,16.08.18,,,13.08.18,75,7,,4,19.10.18,31.10.18,,20.10.18,0,0,"420,000.00",1,1,1,,4,Ulpiana,02.11.18,36 Muaj,,"334,267.50",0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Shëndetësisë,Albina Bajrami
2,1+2,105,5,2,1,45,"Rregullimi i oborreve të shkollave ""Elena Gjika"" dhe ""Dardania""",02.08.18,13.08.18,16.08.18,20.08.18,,,03.09.18,28,4,,0,25.09.18,26.09.18,,13.09.18,,0,146137.50,1,2,1,,4,Mati&Ulpiana,03.10.18,90 Ditë,,"107,777.77",2,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Investimeve Kapitale dhe Menaxhim të Kontratave,Nexhmi Mekolli
2,1,69,2,1,1,93,Shërbimet e transportit me marimangë II,04.06.18,04.06.18,03.06.18,08.06.18,,,16.07.18,13,4,,3,24.08.18,,,26.08.18,1,1,"250,000.00",1,1,1,,3,,,,,0.00,0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Shërbimeve Publike,Kaltrina Dalipi
,1,76,5,2,1,45,Ndërtimi i parkut në Mat,20.06.18,21.06.18,19.06.18,28.06.18,,,20.07.18,83,5,,0,17.09.18,03.10.18,,07.10.18,,0,227794.36,1,1,1,,4,Ulpiana,03.10.18,80 Ditë,,"153,787.24",3,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Investimeve Kapitale dhe Menaxhim të Kontratave,Nexhmi Mekolli
1,,15,2,1,1,93,Mirëmbajtja verore e rrugëve dhe trotuareve - pjesa e I,13.02.18,21.02.18,26.03.18,29.03.18,,,23.04.18,25,8,,2,08.05.18,10.05.18,,12.04.18,0,0,"640,000",1,1,1,jo,4,VZ Company,29.05.18,36 Muaj,,"138,255.87",,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Shërbimeve Publike,Nexhmi Mekolli
1,,15,2,1,1,93,Mirëmbajtja verore e rrugëve dhe trotuareve - pjesa e II,13.02.18,21.02.18,26.03.18,29.03.18,1,1,23.04.18,25,8,,3,08.05.18,10.05.18,,12.04.18,1,1,"640,000.00",1,1,1,,4,Toifor,,36 Muaj,,"199,882.99",36,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Shërbimeve Publike,Nexhmi Mekolli
,,15,2,1,1,93,Mirëmbajtja verore e rrugëve dhe trotuareve -  pjesa III,13.02.18,21.02.18,26.03.18,29.03.18,,,23.04.18,25,8,,4,08.05.18,10.05.18,,12.04.18,0,0,"640,000.00",1,1,1,jo,1,Dardania,29.05.18,36 Muaj,,"284,997.96",36,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Shërbimeve Publike,Nexhmi Mekolli
1,,15,2,1,1,93,Mirëmbajtja verore e rrugëve dhe trotuareve - pjesa IV,13.02.18,21.02.18,26.03.18,29.03.18,,,23.04.18,25,8,,2,08.05.18,10.05.18,,12.04.18,0,0,"640,000.00",1,1,1,jo,4,Niti-N,29.05.18,36 Muaj,,"187,823.26",36,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Shërbimeve Publike,Nexhmi Mekolli
,,15,2,1,1,93,Mirëmbajtja verore e rrugëve dhe trotuareve - pjesa V,13.02.18,21.02.18,26.03.18,29.03.18,,,23.04.18,25,8,,2,08.05.18,10.05.18,,12.04.18,0,0,"640,000.00",1,1,1,jo,4,Zahiri,29.05.18,36 Muaj,,"192,896.00",36,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Shërbimeve Publike,Nexhmi Mekolli
1,,15,2,1,1,93,Mirëmbajtja verore e rrugëve dhe trotuareve - pjesa VI,13.02.18,21.02.18,26.03.18,29.03.18,,,23.04.18,25,8,,2,08.05.18,10.05.18,,12.04.18,0,0,"640,000.00",1,1,1,jo,4,Pastrimi,29.05.18,36 Muaj,,"244,608.37",36,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Shërbimeve Publike,Nexhmi Mekolli
1,1,22,5,2,1,45,"Rikonstruksioni i dyshemeve , gëlqerosja dhe rikonstruimi i nyjeve sanitare ne Intstitucionet ArsimoreLOT -I",11.12.17,12.12.17,26.04.18,02.05.18,,,25.05.18,74,15,,2,06.07.18,17.07.18,,23.07.18,,0,"250,000.00",1,1,1,,4,Zhvillimi,20.07.18,12 Muaj,,"59,072.50",0,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Arsimit,Albina Bajrami
